KDToggleIntenseOrgasm,Intense 'Let Go' VFX
KDToggleVibeSounds,Enable Toy SFX
KDToggleFullscreen,Enable Fullscreen
KDToggleHighResDisplacement,Hi-Res Distortion (Needs Restart)
KDToggleHiResModel,Hi-Res Model (no restart needed)
KDToggleGraphicsQuality,High Quality Animations
KDToggleEnemyAnimations,Enemy Animations
KDToggleLazyWalk,One-Click Move (when slowed)
KDToggleShiftLatch,Latch Shift Key
KDToggleCrotchRopeOption,Crotch Rope under panties
KDToggleChastityOption,Chastity over Panties
KDToggleChastityOption2,Chastity over Harness
KDToggleChastityBraOption,Chastity Bra over Bras
KDToggleSimpleColorPicker,Simple Color Picker
KDToggleCenter,Center Player
KDToggleBuffSide,Draw Buffs on Side
KDToggleShowPath,Show Trajectory on Auto-Path
KDToggleShowFacing,Show Player Facing
KDToggleShowSameCatSpells,Show more learnable spells
KDTogglePlayerAura,Show Player Buff Auras
KDToggleEnemyAura,Show Enemy Buff Auras
KDToggleOutlineAura,Minimalist Enemy Auras
KDToggleNearestNeighbor,Pixelated GFX (needs restart)
KDToggleAutoCrouchOnTrip,Auto-Crouch when Tripped
KDToggleRetroAnim,Retro Animations
KDToggleFlipStatusBars,Flip Status Bars
KDToggleHelper,Reduce Accidental Wall Clicks
KDToggleNipples,Enable Nipples
KDToggleNippleToysOption,Show Nipple Toys Over Bras
KDToggleNippleToysHide,Hide Nipple Clamps
KDToggleNipplePiercingsHide,Hide Nipple Piercings
KDToggleForcePalette,Use default palette when no outfit is worn
KDToggleFlipPlayer,Flip Player Display
KDToggleGreyscaleBlindness,Grayscale when Blind
KDToggleFastFloaters,Faster Floater Fade
KDToggleNoDmgFloaters,No Damage Floaters
KDToggleDynamicArmor,Dynamic Armor (must hide armor)
KDToggleHideFloatingWeapon,Hide floating weapon display

KDHelpless,Helpless!
KDMissed,Evaded!
KDBlocked,Blocked!
KDBlockedRestraint,Resisted Bondage!

KDWallBump,You bump into a wall.

KDResolution,Game Resolution:
KDResolutionConfirm,Resolution (needs reload):
KDVibeVolume,Toy Volume:
KDMusicVolume,Music Volume:
KDSfxVolume,SFX Volume:
KDAnimSpeed,Animation Time:
KDGamma,Map Brightness:
KDSelectedFont,Game Font:
KDButtonFont,Button Font:

KinkyDungeonJourney,"Select a journey. This will determine the ordering of game areas."
KinkyDungeonJourney0,"Standard: The intended experience"
KinkyDungeonJourney1,"Random: A chaotic journey"
KinkyDungeonJourney2,"Harder: A more difficult journey"

KinkyDungeonStats,"Select perks to start with."
KinkyDungeonStats2,"Having 10+ spare points will trigger Hard Mode, granting unique loot."
KDHardMode," (HARD MODE ENABLED)"
KinkyDungeonStartGameAdv,"Advanced start (choose perks)"
KinkyDungeonStartGameKinky,"Kinky start"
KinkyDungeonStartGameQuick,"Normal start"

KinkyDungeonStatCost,"Point Cost: AMOUNT"
KinkyDungeonStatPoints,"Points Available: AMOUNT"

KinkyDungeonStatResilientFoes,"Resilient Foes"
KinkyDungeonStatDescResilientFoes,"Enemies have 30% more hp."

KinkyDungeonStat0,"Strong"
KinkyDungeonStatDesc0,"Boosts the Struggle option when escaping."
KinkyDungeonStat1,"Helpless"
KinkyDungeonStatDesc1,"You are physically weak. Struggling is much less effective."

KinkyDungeonStat2,"Flexible"
KinkyDungeonStatDesc2,"Slightly boosts the Remove/Unlock option, escaping is 1.5x as fast except picking, and your feet can use items/buckles."
KinkyDungeonStat3,"Inflexible"
KinkyDungeonStatDesc3,"You get a penalty to the Remove and Unlock action, and escaping is 0.75x as fast."

KinkyDungeonStat4,"Locksmith"
KinkyDungeonStatDesc4,"You get a bonus to lockpicking, allowing you to pick some high-security locks previously impossible."
KinkyDungeonStat5,"Clueless"
KinkyDungeonStatDesc5,"You have no idea how to pick locks. Picking is 0.5x as fast and you can't pick most advanced locks."

KinkyDungeonStat6,"Psychic"
KinkyDungeonStatDesc6,"You no longer drop keys and picks, can unlock yourself with bound hands, and don't need hands for items/potions."
KinkyDungeonStat7,"Novice"
KinkyDungeonStatDesc7,"All spells above 1st level cost 2x as many spell points."

KinkyDungeonStat8,"Blessed"
KinkyDungeonStatDesc8,"You can drink mana from the shrine fountains once per floor without chance of punishment."
KinkyDungeonStat9,"Cursed"
KinkyDungeonStatDesc9,"Goddess reputations can never exceed 25."

KinkyDungeonStat10,"Submissive"
KinkyDungeonStatDesc10,"Your submissiveness starts at 100 and cannot go below 70."
KinkyDungeonStat11,"Wanted"
KinkyDungeonStatDesc11,"Your security level starts at 100 and cannot go below 70."

KinkyDungeonStat12,"Studious"
KinkyDungeonStatDesc12,"You start the game with +1 spell point. Your first two spell categories are free."
KinkyDungeonStat13,"Meditation"
KinkyDungeonStatDesc13,"You slowly regenerate mana, up to a maximum of 50."

KinkyDungeonStat14,"Willpower"
KinkyDungeonStatDesc14,"-50% stamina drain from being at high arousal."
KinkyDungeonStat15,"Bondage Lover"
KinkyDungeonStatDesc15,"Attempting to escape arouses you."

KinkyDungeonStat18,"Focused Dodge"
KinkyDungeonStatDesc18,"While your miscast chance is 0%, you gain +40 Evasion."
KinkyDungeonStat19,"Distracted"
KinkyDungeonStatDesc19,"+15% miscast chance (at all times)"

KinkyDungeonStat20,"Brawler"
KinkyDungeonStatDesc20,"Unarmed attacks deal +10 damage and being bound does not decrease unarmed damage."

KinkyDungeonStatUnarmedGrope,"Way of the Squish"
KinkyDungeonStatDescUnarmedGrope,"Unarmed attacks deal grope damage against humans."
KinkyDungeonStatUnarmedPain,"Way of the Spank"
KinkyDungeonStatDescUnarmedPain,"Unarmed attacks deal pain damage against humans."
KinkyDungeonStatUnarmedTickle,"Way of the Feather"
KinkyDungeonStatDescUnarmedTickle,"Unarmed attacks deal tickle damage against humans."

KinkyDungeonStatUnarmedSuck,"Harmless"
KinkyDungeonStatDescUnarmedSuck,"Unarmed attacks deal half damage and cost 2x as much stamina."


KinkyDungeonStat21,"Clumsy"
KinkyDungeonStatDesc21,"0.7x base accuracy"

KinkyDungeonStatUnfocused,"Unfocused"
KinkyDungeonStatDescUnfocused,"Accuracy multiplied by 0.9x above 10% distraction, down to 0.6x at 90% distraction."

KinkyDungeonStat22,"Pristine"
KinkyDungeonStatDesc22,"There are significantly less shiny loot objects in the dungeon."
KinkyDungeonStat23,"Lost Technology"
KinkyDungeonStatDesc23,"Ancient power cores break with use, and cannot be recharged."


KinkyDungeonStat26,"Unchained"
KinkyDungeonStatDesc26,"Start with high Metal reputation, and all metal restraints are easier to escape from."
KinkyDungeonStat27,"Damsel in Chains"
KinkyDungeonStatDesc27,"Metal restraints are harder to escape from."

KinkyDungeonStatForgetful,"Forgetful"
KinkyDungeonStatDescForgetful,"You don't remember where you've been in the level."

KinkyDungeonStatCursedLocks,"Cursed Locks"
KinkyDungeonStatDescCursedLocks,"Those without keys shall face the Wrath of the Lock. Locked items cannot be cut and are harder to struggle."
KDCursedLocks,"The magical warding from the lock protects the item."
KinkyDungeonStatUndeniable,"Undeniable"
KinkyDungeonStatDescUndeniable,"Born with an intense submissive desire, you cannot refuse bondage from dialogues."


KinkyDungeonStatFranticStruggle,"Frantic Struggle"
KinkyDungeonStatDescFranticStruggle,"Your escaping is 3 times as fast, but less efficient in terms of stamina."

KinkyDungeonStat28,"Escape Artist"
KinkyDungeonStatDesc28,"Start with high Rope reputation, and all rope restraints are easier to escape from."
KinkyDungeonStat29,"Rope Bunny"
KinkyDungeonStatDesc29,"Rope restraints are harder to escape from."

KinkyDungeonStat30,"Slippery"
KinkyDungeonStatDesc30,"Start with high Latex reputation, and all latex restraints are easier to escape from."
KinkyDungeonStat31,"Latex Doll"
KinkyDungeonStatDesc31,"Latex restraints are harder to escape from."


KinkyDungeonStat32,"Escapee"
KinkyDungeonStatDesc32,"Start with high Leather reputation, and all leather restraints are easier to escape from."
KinkyDungeonStat33,"Leather-Bound"
KinkyDungeonStatDesc33,"Leather restraints are harder to escape from."

KinkyDungeonStat34,"Slayer"
KinkyDungeonStatDesc34,"You can cast Elemental spells without having the components, at twice the cost. Start w/ Firebolt."
KinkyDungeonStat35,"Conjurer"
KinkyDungeonStatDesc35,"You can cast Conjuration spells without having the components, at twice the cost. Start w/ Conjure Chain."
KinkyDungeonStat36,"Magician"
KinkyDungeonStatDesc36,"You can cast Illusion spells without having the components, at twice the cost. Start w/ Shadow Dagger."

KinkyDungeonStat37,"Narcoleptic"
KinkyDungeonStatDesc37,"You slowly lose stamina over time."

KinkyDungeonStat38,"Stealth Mission"
KinkyDungeonStatDesc38,"You are harder to detect and there are more chests, but enemies have 50% more HP, are more evasive, and drop no gold."
KinkyDungeonStatCommonToyEdge,"Edging Lovers"
KinkyDungeonStatDescCommonToyEdge,"All humanoids that can bind you also apply edging toys."
KinkyDungeonStatCommonToyDeny,"Denial Lovers"
KinkyDungeonStatDescCommonToyDeny,"All humanoids that can bind you also apply denial toys."
KinkyDungeonStatCommonToyPleasure,"Pleasure Lovers"
KinkyDungeonStatDescCommonToyPleasure,"All humanoids that can bind you also apply pleasurable toys."
KinkyDungeonStatCommonToyTease,"Teasing Lovers"
KinkyDungeonStatDescCommonToyTease,"All humanoids that can bind you also apply teasing toys."
KinkyDungeonStatCommonLatex,"Latex Lovers"
KinkyDungeonStatDescCommonLatex,"All humanoids that can bind you also apply latex restraints."
KinkyDungeonStatCommonLeather,"Leather Lovers"
KinkyDungeonStatDescCommonLeather,"All humanoids that can bind you also apply leather restraints."
KinkyDungeonStatCommonWolf,"Wolfgirl Lovers"
KinkyDungeonStatDescCommonWolf,"All humanoids that can bind you also apply wolfgirl restraints."
KinkyDungeonStatCommonMaid,"Maid Lovers"
KinkyDungeonStatDescCommonMaid,"All humanoids that can bind you also apply maid restraints."
KinkyDungeonStatCommonDress,"Dress Lovers"
KinkyDungeonStatDescCommonDress,"All humanoids that can bind you also apply dress restraints."
KinkyDungeonStatCommonKitty,"Kitty Lovers"
KinkyDungeonStatDescCommonKitty,"All humanoids that can bind you also apply kitty restraints."
KinkyDungeonStatCommonExp,"Adv Latex Lovers"
KinkyDungeonStatDescCommonExp,"All humanoids that can bind you also apply advanced latex restraints."
KinkyDungeonStat39,"Conspicuous"
KinkyDungeonStatDesc39,"Enemies detect you more easily."

KinkyDungeonStat40,"Bound Power"
KinkyDungeonStatDesc40,"Your damage and evasion increases based on the number of restraints worn, up to +40% when thoroughly bound."
KinkyDungeonStat41,"Kill Squad"
KinkyDungeonStatDesc41,"Enemies gain increased blindsight and vision radius."

KinkyDungeonStat42,"Supermarket"
KinkyDungeonStatDesc42,"Commerce shrines can appear in levels and have slightly more items."
KinkyDungeonStat43,"Price Gouging"
KinkyDungeonStatDesc43,"Items are 5x as expensive in the shop."

KinkyDungeonStat46,"Supermarket"
KinkyDungeonStatDesc46,"Commerce shrines can appear in levels and have slightly more items."
KinkyDungeonStat47,"Price Gouging"
KinkyDungeonStatDesc47,"Items are 5x as expensive in the shop."

KinkyDungeonStat48,"High Security"
KinkyDungeonStatDesc48,"Picks are weaker, and randomly generated locks are harsher."
KinkyDungeonStat49,"Shoddy Knives"
KinkyDungeonStatDesc49,"Knives break more easily."
KinkyDungeonStat50,"Oppression"
KinkyDungeonStatDesc50,"Ghosts are less likely to help you."
KinkyDungeonStat51,"Search Party"
KinkyDungeonStatDesc51,"More enemies spawn during sleep."

KinkyDungeonStat52,"No Way Out"
KinkyDungeonStatDesc52,"Enemies will always use the tightest restraints possible regardless of willpower. +10 Security level."
KinkyDungeonStat53,"Deft Footwork"
KinkyDungeonStatDesc53,"You ignore some consequences of being mildly slowed from heels or slime, and you can cast Leg spells while slowed significantly at 50% miscast chance."
KinkyDungeonStatPoorForm,"Poor Form"
KinkyDungeonStatDescPoorForm,"Slowing effects on you are amplified."
KinkyDungeonStatSomaticMinus,"Poor Coordination"
KinkyDungeonStatDescSomaticMinus,"You must have both fingers and arms free to cast arm spells. Hand restraints are more effective on you."
KinkyDungeonStatSomaticPlus,"Deft Fingering"
KinkyDungeonStatDescSomaticPlus,"You can cast arm spells using just your fingers, as long as your hands aren't bound."


KinkyDungeonStat54,"Well-Equipped"
KinkyDungeonStatDesc54,"Restraints and traps that are limited by level appear sooner, and enemies stack more restraints in general. +10 security level."

KinkyDungeonStat55,"Quick-Draw"
KinkyDungeonStatDesc55,"Switching weapons and spells does not take a turn."
KinkyDungeonStat56,"Quick-Scribe"
KinkyDungeonStatDesc56,"Switching spells and casting from spellbook does not take a turn."

KinkyDungeonStat57,"Disorganized"
KinkyDungeonStatDesc57,"Switching weapons, learning/choosing spells, and casting from spellbook takes 3 turns."
KinkyDungeonStatSavourTheTaste,"Savour the Taste"
KinkyDungeonStatDescSavourTheTaste,"Drinking a potion takes 2 turns"

KinkyDungeonStatMagicHands,"Magic Hands"
KinkyDungeonStatDescMagicHands,"Enemies can add restraints underneath existing restraints."

KinkyDungeonStatStartLatexIntegration,"Fully Integrated"
KinkyDungeonStatDescStartLatexIntegration,"Start with your body sealed in an adhesive layer of latex."

KinkyDungeonStatStartCyberDollStorage,"Doll Processing"
KinkyDungeonStatDescStartCyberDollStorage,"Start atop a conveyor on your way to be sealed away inside the Facility."
KinkyDungeonStatStartCyberDoll,"Cyber Doll"
KinkyDungeonStatDescStartCyberDoll,"Start in full Cyber restraints."
KinkyDungeonStatFuukaCollar,"Fuuka's Pet"
KinkyDungeonStatDescFuukaCollar,"Start with Fuuka's collar and a few restraints."
KinkyDungeonStatCommonFuuka,"Fuuka Fan Club"
KinkyDungeonStatDescCommonFuuka,"All humanoids that can bind you also apply Fuuka's special restraints."
KinkyDungeonStatWardenBelt,"Collected"
KinkyDungeonStatDescWardenBelt,"Start with The Warden's special belt which punishes you for defiling spell orbs."
KinkyDungeonStatCommonWarden,"Enforcers"
KinkyDungeonStatDescCommonWarden,"All humanoids that can bind you also apply The Warden's cuffs."
KinkyDungeonStatCommonCyber,"Dollmaker's Minions"
KinkyDungeonStatDescCommonCyber,"All humanoids that can bind you also apply Cyber Doll restraints."
KinkyDungeonStatDollmakerVisor,"Doll Hunter V"
KinkyDungeonStatDescDollmakerVisor,"You start with the Dollmaker's Visor."
KinkyDungeonStatDollmakerMask,"Doll Hunter M"
KinkyDungeonStatDescDollmakerMask,"You start with the Dollmaker's Mask."
KinkyDungeonStatStartShadow,"Persisting Desires"
KinkyDungeonStatDescStartShadow,"Your dark desires are endless."

KinkyDungeonStatSugarRush,"Sugar Rush"
KinkyDungeonStatDescSugarRush,"Consuming sweets makes you hyperactive, decreasing stamina costs and granting free moves."

KinkyDungeonStatVengeance,"Vengeance"
KinkyDungeonStatDescVengeance,"Defeating an enemy greatly distracts you."
KinkyDungeonStatBerserkerRage,"Berserker Rage"
KinkyDungeonStatDescBerserkerRage,"Melee attacks distract you, but melee (including chain) damage increases by up to 30% at max distraction."
KinkyDungeonStatUnstableMagic,"Unstable Magic"
KinkyDungeonStatDescUnstableMagic,"Spells do up to 60% additional damage based on distraction or miscast chance, whichever is higher."
KinkyDungeonStatAbsoluteFocus,"Absolute Focus"
KinkyDungeonStatDescAbsoluteFocus,"Miscast chance is doubled."

KinkyDungeonStatBoundCrusader,"Bound Crusader"
KinkyDungeonStatDescBoundCrusader,"Goddesses will equip restraints upon acceptance of a quest."

KinkyDungeonStatNowhere,"Nowhere is Safe"
KinkyDungeonStatDescNowhere,"Beds and furniture are often trapped."


KinkyDungeonStatQuakeCollar,"Quakehoof Associate"
KinkyDungeonStatDescQuakeCollar,"Start with the Epsilon Collar, which regenerates mana when you play with yourself."
RestraintQuakeCollar,Epsilon Collar
RestraintQuakeCollarDesc,A collar reserved for the most prestigious of submissives.
RestraintQuakeCollarDesc2,"Restores mana when you play with yourself, but increases the distraction given. Only works when Desire is below the limit."


KinkyDungeonStatBulletHell,"Bullet Hell"
KinkyDungeonStatDescBulletHell,"Hides warning lines for non-AoE bullets and projectiles."
KinkyDungeonStatBulletHell2,"Bullet Armageddon"
KinkyDungeonStatDescBulletHell2,"Hides warning lines for AoE spells, bullets, and projectiles."

KinkyDungeonStatNeeds,"I have... needs"
KinkyDungeonStatDescNeeds,"Distraction builds up over time."

KinkyDungeonStatHopeless,"Hopeless"
KinkyDungeonStatDescHopeless,"Willpower decays over time."

KinkyDungeonStatQuickness,"Quickness"
KinkyDungeonStatDescQuickness,"Grants Quickness after not moving for 4 turns. Quickness lets you move 1 space without ticking the clock."


KinkyDungeonStatMapLarge,"Expansive Halls"
KinkyDungeonStatDescMapLarge,"Increases the size of maps by 3 in the long dimension. Maps will be less dense."
KinkyDungeonStatMapHuge,"Gargantuan Halls"
KinkyDungeonStatDescMapHuge,"Increases the size of maps by 6 in the long dimension. Maps will have a mix of tunnels and dead ends."
KinkyDungeonStatMapGigantic,"Labyrinthine Halls"
KinkyDungeonStatDescMapGigantic,"Increases the size of maps by 9 in the long dimension. Maps will be mostly tunnels."
KinkyDungeonStatMapAbsurd,"Absurdly Huge Maps"
KinkyDungeonStatDescMapAbsurd,"(Experimental) Make the maps really really big. Probably breaks the game."

KinkyDungeonStat24,"Rigger"
KinkyDungeonStatDesc24,"Binding on enemies is 30% stronger."
KinkyDungeonStat25,"Pacifist"
KinkyDungeonStatDesc25,"All damage dealt to humanoid enemies is reduced by 90% except teasing damage and pain/grope/tickle/charm/psychic/chain/glue."
KinkyDungeonStatCurseSeeker,"Curse Seeker"
KinkyDungeonStatDescCurseSeeker,"When you pick up cursed armor or restraints from chests, they equip automatically if able."

KinkyDungeonStatBurningDesire,"Burning Desire"
KinkyDungeonStatDescBurningDesire,"While above 70% distraction, you ignite nearby objects and gain +25% fire damage."
KinkyDungeonStatFrigidPersonality,"Frigid Personality"
KinkyDungeonStatDescFrigidPersonality,"While below 10% distraction, you gain +10% ice damage and can walk on ice without penalties."

KinkyDungeonStatGroundedInReality,"Grounded in Reality"
KinkyDungeonStatDescGroundedInReality,"While at max mana, your attacks deal an additional 30% of their base damage as electric damage."
KinkyDungeonStatLikeTheWind,"Like the Wind"
KinkyDungeonStatDescLikeTheWind,"While above 95% stamina, you gain +30 Evasion and your slow level is reduced by 1."

KinkyDungeonStatImmovableObject,"Immovable Object"
KinkyDungeonStatDescImmovableObject,"While above 90% willpower, you gain +150 Bondage Resist and Earth buff spells cost half mana."
KinkyDungeonStatLeastResistance,"Path of Least Resistance"
KinkyDungeonStatDescLeastResistance,"While at 0 WP, you gain +35 Evasion and deal 20% of your max WP as soap damage when enemies restrain you."

KinkyDungeonStatSticky,"Sticky Situation"
KinkyDungeonStatDescSticky,"You take 40% more glue damage."
KinkyDungeonStatBreathless,"Breathless"
KinkyDungeonStatDescBreathless,"Taking chain, poison, and crush damage makes you dizzy."



KinkyDungeonStatKinkyPrison,"Kinky Prisoner"
KinkyDungeonStatDescKinkyPrison,"Guards won't remove restraints unless they have something tighter. +10 Security level."

KinkyDungeonStatDoorknobs,"Unfair Doors"
KinkyDungeonStatDescDoorknobs,"Doors are harder to open while your hands are bound."
KDDoorknobFail,"You rattle the doorknob uselessly and end up banging on the door."
KDDoorknobFailArms,"You can't quite get a grip on the doorknob."
KDDoorknobAttract,"Someone hears you banging and opens the door from the other side!"
KDDoorknobAttractArms,"Someone notices you fiddling with the door and opens it from the other side!"
KDDoorknobSuccess,"The door squeaks open as the latch wasn't fully engaged."
KDDoorknobSuccessArms,"You grab the doorknob with your wrists and flex it open."
KDDoorknobFeet,You use your flexible feet to open the door.

KinkyDungeonStatSelfMiscast,"Poor Technique"
KinkyDungeonStatDescSelfMiscast,"Instead of fizzling, most miscasted projectiles and AoE spells will target you instead."


KinkyDungeonStatT,""
KinkyDungeonStatDescT,""

KinkyDungeonStatTicklish,"Ticklish"
KinkyDungeonStatDescTicklish,"You take 50% more tickle damage."
KinkyDungeonStatStoic,"Stoic"
KinkyDungeonStatDescStoic,"You gain +82 tickle resist."

KinkyDungeonStatLascivious,"Lascivious"
KinkyDungeonStatDescLascivious,"You take 50% more grope damage."
KinkyDungeonStatUnperturbed,"Unperturbed"
KinkyDungeonStatDescUnperturbed,"You gain +82 grope resist."

KinkyDungeonStatMasochist,"Masochist"
KinkyDungeonStatDescMasochist,"Pain is strongly arousing."
KinkyDungeonStatPainTolerance,"Pain Tolerance"
KinkyDungeonStatDescPainTolerance,"You gain +200 pain resist."

KinkyDungeonStatKeepOutfit,"Fashionable"
KinkyDungeonStatDescKeepOutfit,"When you are jailed, you keep your outfit."

KinkyDungeonStatFutileStruggles,"Futile Struggles"
KinkyDungeonStatDescFutileStruggles,"Lose 2 WP every time you remove a non-trivial restraint."

KinkyDungeonStatSecondWind,"Second Wind"
KinkyDungeonStatDescSecondWind,"Regenerate WP when unimpaired, up to 10% of max WP. Unimpaired means no arm, hand, leg, blindfold, gag, or slows. (Upgrade available in spell tree)"
KinkyDungeonSpellSecondWind0,Second Wind Perk
KinkyDungeonSpellDescriptionSecondWind0,"Regenerate WP when you are unimpaired, up to 10% of max WP. Unimpaired means no arm, hand, leg, blindfold, or gag bondage, and no slows."
KinkyDungeonSpellSecondWind1,Triumphant Wind
KinkyDungeonSpellDescriptionSecondWind1,"Second Wind now regenerates up to 25% of your max WP"

KinkyDungeonStatLockedUp,"Locked Up"
KinkyDungeonStatDescLockedUp,"While wearing a chastity belt, your Desire lowers when you perform actions such as defeating enemies, opening chests, and breaking orbs. (Upgrades available in spell tree)"
KinkyDungeonSpellLockedUp0,Locked Up Perk
KinkyDungeonSpellDescriptionLockedUp0,"While wearing a chastity belt, your Desire lowers when you perform actions such as capturing, opening chests, and breaking orbs."
KinkyDungeonSpellLockedUp1,Controlled Urges
KinkyDungeonSpellDescriptionLockedUp1,"Locked Up is 150% effective. Gain +70 psychic/charm resist from a chastity belt and +30 from a chastity bra. While not wearing a chastity belt, your Desire increases slowly."
KinkyDungeonSpellLockedUp2,Ready for Training
KinkyDungeonSpellDescriptionLockedUp2,"Locked Up is 200% effective. +25% stamina regen per 100 current DP. Playing with yourself is less effective while vibrators are off or set to edge. Slow level is increased by 1 when you aren't wearing any chastity."
KinkyDungeonSpellLockedUp3,Efficient Denial
KinkyDungeonSpellDescriptionLockedUp3,"Locked Up is 300% effective. When Locked Up triggers, you gain -30% mana costs and +25% physical damage for 7 turns (35 when opening a chest or breaking orbs). You cannot orgasm unless you are wearing a chastity belt, and slow level is increased by 2."
KinkyDungeonSpellLockedUpX,Recalcitrant
KinkyDungeonSpellDescriptionLockedUpX,"Relinquish the Locked Up perk. One time only. If you take the perk again, there is no going back."

KinkyDungeonStatNovicePet,"Novice Pet"
